level,random_success,cnn_success,random_progress,cnn_progress
flat_empty,1.0,1.0,1.0,1.0
late_spike,0.9666666666666667,1.0,0.9880664652567976,1.0
mixed_spikes,0.13333333333333333,1.0,0.5860792902066486,1.0
one_spike,0.5333333333333333,0.0,0.7626245019920318,0.4855577689243028
two_spikes,0.8666666666666667,0.0,0.9511454753722796,0.6335910652920963
